name,caption,lines,connect_rer,connect_tramway,connect_transilien,connect_other,passengers,latitude,longitude,location,min_line
Cardinal Lemoine,,10,,,,,1121854,48.847139,2.351203,Paris 5th,10
Chardon Lagache,,10,,,,,482053,48.845138,2.266214,Paris 16th,10
Charles Michels,,10,,,,,3079569,48.846591,2.286942,Paris 15th,10
Cluny—La Sorbonne,,10,"B, C",,,,1261818,48.851019,2.344583,Paris 5th,10
Duroc,,"10, 13",,,,,2645064,48.846829,2.316479,"Paris 6th, Paris 7th, Paris 15th",10
Église d'Auteuil,,10,,,,,124941,48.847169,2.269020,Paris 16th,10
Javel—André Citroën,,10,C,,,,1589561,48.846165,2.278716,Paris 15th,10
Mabillon,,10,,,,,1195051,48.852775,2.335322,Paris 6th,10
Maubert—Mutualité,,10,,,,,1280387,48.850193,2.347936,Paris 5th,10
Mirabeau,,10,,,,,1001302,48.846900,2.272100,Paris 16th,10
Porte d'Auteuil,,10,,,,,375748,48.848025,2.258750,Paris 16th,10
Ségur,,10,,,,,1100151,48.847434,2.306853,"Paris 7th, Paris 15th",10
Sèvres—Babylone,,"10, 12",,,,,3392504,48.851510,2.326655,"Paris 6th, Paris 7th",10
Vaneau,,10,,,,,725826,48.848947,2.321557,"Paris 6th, Paris 7th",10
Côteaux Beauclair,,11,,,,,,48.882319,2.467539,"Rosny-sous-Bois, Noisy-le-Sec",11
La Dhuys,,11,,,,,,48.877536,2.465100,"Montreuil, Rosny-sous-Bois",11
Montreuil-Hôpital,,11,,,,,,48.878300,2.454617,Montreuil,11
Romainville—Carnot,,11,,,,,,48.883253,2.440822,Romainville,11
Rosny-Bois Perrier,,11,E,,,,,48.882640,2.481500,Rosny-sous-Bois,11
Serge Gainsbourg,,11,,,,,,48.881258,2.427228,Les Lilas,11
Goncourt,Hôpital Saint-Louis,11,,,,,2199170,48.869831,2.370687,"Paris 10th, Paris 11th",11
Jourdain,,11,,,,,1881321,48.875200,2.389508,"Paris 19th, Paris 20th",11
Mairie des Lilas,,11,,,,,2894622,48.879788,2.416289,Les Lilas,11
Pyrénées,,11,,,,,2288587,48.873875,2.385259,"Paris 19th, Paris 20th",11
Rambuteau,Centre Georges Pompidou,11,,,,,2127291,48.861190,2.353430,"Paris 3rd, Paris 4th",11
Télégraphe,,11,,,,,1636898,48.875463,2.398434,"Paris 19th, Paris 20th",11
Abbesses,Butte Montmartre,12,,,,Funiculaire de Montmartre,1513884,48.884849,2.338688,Paris 18th,12
Aimé Césaire,,12,,,,,,48.908317,2.378020,Aubervilliers,12
Assemblée Nationale,,12,,,,,611512,48.860655,2.321130,Paris 7th,12
Convention,,12,,,,,3734750,48.837419,2.296795,Paris 15th,12
Corentin Celton,,12,,,,,2504682,48.826833,2.278985,Issy-les-Moulineaux,12
Falguière,,12,,,,,650291,48.844566,2.318287,Paris 15th,12
Front Populaire,,12,,,,,1948542,48.906800,2.366000,"Aubervilliers, Saint-Denis",12
Jules Joffrin,,12,,,,,2854819,48.892437,2.344782,Paris 18th,12
Lamarck—Caulaincourt,,12,,,,,1875717,48.889139,2.338159,Paris 18th,12
Mairie d'Aubervilliers,Plaine des Vertus,12,,,,,,48.913829,2.380651,Aubervilliers,12
Mairie d'Issy,,12,,,,,2874138,48.824152,2.273434,Issy-les-Moulineaux,12
Marx Dormoy,,12,,,,,2425928,48.891213,2.359909,Paris 18th,12
Notre-Dame-de-Lorette,,12,,,,,1893828,48.876040,2.337341,Paris 9th,12
Notre-Dame-des-Champs,,12,,,,,1487256,48.844568,2.328788,Paris 6th,12
Porte de la Chapelle,,12,,T3b,,,1866281,48.897274,2.359191,Paris 18th,12
Porte de Versailles,Parc des Expositions,12,,"T2, T3a",,,3268157,48.832328,2.287841,Paris 15th,12
Rennes,,12,,,,,861334,48.848193,2.327763,Paris 6th,12
Rue du Bac,,12,,,,,1423364,48.855690,2.325607,Paris 7th,12
Saint-Georges,,12,,,,,1258381,48.878449,2.337382,Paris 9th,12
Solférino,Musée d'Orsay,12,,,,,1269143,48.858249,2.323225,Paris 7th,12
Trinité—d'Estienne d'Orves,,12,,,,,1051982,48.876302,2.333197,Paris 9th,12
Vaugirard,,12,,,,,2482886,48.839649,2.301491,Paris 15th,12
Volontaires,,12,,,,,1734848,48.841343,2.307504,Paris 15th,12
Basilique de Saint-Denis,Hôtel de Ville,13,,"T1, T5",,,3991395,48.938060,2.360830,Saint-Denis,13
Brochant,,13,,,,,1543298,48.890833,2.319722,Paris 17th,13
Carrefour Pleyel,,13,,,,,1535528,48.920000,2.343890,Saint-Denis,13
Châtillon—Montrouge,,13,,T6,,,5034012,48.810539,2.301826,"Châtillon, Montrouge",13
Gabriel Péri,,13,,,,,3790573,48.916667,2.294444,"Asnières-sur-Seine, Gennevilliers",13
Gaîté,,13,,,,,1644148,48.838654,2.322637,Paris 14th,13
Garibaldi,,13,,,,,1965002,48.906390,2.331940,Saint-Ouen-sur-Seine,13
Guy Môquet,,13,,,,,2205313,48.892222,2.327222,"Paris 17th, Paris 18th",13
La Fourche,,13,,,,,1829271,48.886944,2.325833,"Paris 17th, Paris 18th",13
Les Agnettes,,13,,,,,1890356,48.923056,2.285833,"Asnières-sur-Seine, Gennevilliers",13
Les Courtilles,Asnières—Gennevilliers,13,,T1,,,2802689,48.930556,2.283889,"Asnières-sur-Seine, Gennevilliers",13
Liège,,13,,,,,1143956,48.879722,2.326944,"Paris 8th, Paris 9th",13
Mairie de Clichy,,13,,,,,4043071,48.903056,2.306111,Clichy,13
Mairie de Saint-Ouen,Région Île-de-France,"13, 14",,,,,4830810,48.911670,2.333890,Saint-Ouen-sur-Seine,13
Malakoff—Plateau de Vanves,,13,,,,,2242320,48.822840,2.298340,Malakoff,13
Malakoff—Rue Étienne Dolet,,13,,,,,1450451,48.814700,2.297300,Malakoff,13
Pernety,,13,,,,,2173567,48.834210,2.318510,Paris 14th,13
Plaisance,,13,,,,,3521753,48.831553,2.313741,Paris 14th,13
Porte de Clichy,Tribunal de Paris,"13, 14",C,T3b,,,5278497,48.893889,2.314444,Paris 17th,13
Porte de Saint-Ouen,,13,,T3b,,,2710638,48.896667,2.328611,"Paris 17th, Paris 18th",13
Porte de Vanves,,13,,T3a,,,3395358,48.827940,2.305880,Paris 14th,13
Saint-Denis—Porte de Paris,Stade de France,13,,T8,,,3355836,48.930280,2.357780,Saint-Denis,13
Saint-Denis—Université,,13,,T5,,,3569990,48.945830,2.363610,Saint-Denis,13
Saint-François-Xavier,,13,,,,,1213378,48.851951,2.314475,Paris 7th,13
Varenne,,13,,,,,782697,48.856238,2.314921,Paris 7th,13
Aéroport d'Orly,Paray-Vieille-Poste,14,,T7,,,,48.728081,2.362364,Paray-Vieille-Poste,14
Bibliothèque François Mitterrand,,14,C,T3a,,,11104474,48.829822,2.376781,Paris 13th,14
Chevilly-Larue,Marché International,14,,T7,,,,48.758360,2.366663,Chevilly-Larue,14
Cour Saint-Émilion,,14,,,,,2985122,48.834000,2.386000,Paris 12th,14
Hôpital Bicêtre,Kremlin-Bicêtre–Gentilly,14,,,,,,48.809722,2.349722,Le Kremlin-Bicêtre,14
L'Haÿ-les-Roses,,14,,,,,,48.775278,2.354167,L'Haÿ-les-Roses,14
Olympiades,,14,,,,,5214595,48.827222,2.368333,Paris 13th,14
Pont Cardinet,,14,,,L,,4168538,48.889481,2.315206,Paris 17th,14
Saint-Denis–Pleyel,,14,,,,,,48.917709,2.344116,Saint-Denis,14
Saint-Ouen,,14,C,,,,3420852,48.904497,2.321806,"Clichy, Saint-Ouen-sur-Seine",14
Thiais–Orly,Pont de Rungis,14,,,,,,48.747367,2.372931,Thiais,14
Villejuif–Gustave Roussy,,14,,,,,,48.793300,2.349260,Villejuif,14
