number,af,ak,am,ar,az,be,bg,bs,ca,ccp,chr,cs,cy,da,de-CH,de,ee,el,en,eo,es,et,fa,ff,fi,fil,fo,fr-BE,fr-CH,fr,ga,he,hi,hr,hu,hy,id,is,it,ja,ka,kk,kl,km,ko,ky,lb,lo,lrc,lt,lv,mk,ms,mt,my,ne,nl,nn,no,pl,pt,qu,ro,ru,se,sk,sl,sq,sr-Latn,sr,su,sv,sw,ta,th,tr,uk,vi,yue,zh
0,nul,hwee,ባዶ,صفر,sıfır,нуль,нула,nula,zero,𑄥𑄪𑄚𑄳𑄠𑄴𑄧,ꮭ ꭺꮝꮧ,nula,dim,nul,null,null,ɖekeo,μηδέν,zero,nulo,cero,null,صفر,ɓolum,nolla,walâ,null,zéro,zéro,zéro,a náid,אפס,शून्य,nula,nulla,զրո,kosong,núll,zero,〇,ნული,нөл,nuulu,សូន្យ,영,нөл,null,ศูนย์,صفر,nulis,nulle,нула,kosong,żero,သုည,शुन्य,nul,null,null,zero,zero,chusaq,zero,ноль,nolla,nula,nič,zero,nula,нула,nol,noll,sifuri,பூஜ்யம்,ศูนย์,sıfır,нуль,không,零,〇
1,een,koro,አንድ,واحد,bir,адзiн,едно,jedno,u,𑄆𑄇𑄴,ꮠꮼ,jedno,un,et,eins,eins,ɖeka,ένα,one,unu,uno,üks,یک,goʼo,yksi,isá,eitt,un,un,un,a haon,אחת,एक,jedno,egy,մեկ,satu,eitt,uno,一,ერთი,бір,ataaseq,មួយ,일,бир,een,ໜຶ່ງ,یٱک,vienas,viens,едно,satu,wieħed,တစ်,एक,een,eitt,ett,jedno,um,huk,unu,одно,okta,jedno,ena,një,jedno,једно,hiji,ett,moja,ஒன்று,หนึ่ง,bir,один,một,一,一
2,twee,abien,ሁለት,إثنان,iki,два,две,dva,dos,𑄘𑄨,ꮤꮅ,dvě,dau,to,zwei,zwei,eve,δύο,two,du,dos,kaks,دو,ɗiɗi,kaksi,dalawá,tvey,deux,deux,deux,a dó,שתיים,दो,dva,kettő,երկու,dua,tvö,due,二,ორი,екі,marluk,ពីរ,이,эки,zwee,ສອງ,دۏ,du,divi,два,dua,tnejn,နှစ်,दुई,twee,to,to,dwa,dois,iskay,două,два,guokte,dve,dve,dy,dva,два,dua,två,mbili,இரண்டு,สอง,iki,два,hai,二,二
3,drie,abiasa,ሦስት,ثلاثة,üç,тры,три,tri,tres,𑄖𑄨𑄚𑄴,ꮶꭲ,tři,tri,tre,drei,drei,etɔ̃,τρία,three,tri,tres,kolm,سه,tati,kolme,tatló,trý,trois,trois,trois,a trí,שלוש,तीन,tri,három,երեք,tiga,þrjú,tre,三,სამი,үш,pingasut,បី,삼,үч,dräi,ສາມ,ساٛ,trys,trīs,три,tiga,tlieta,သုံး,तिन,drie,tre,tre,trzy,três,kinsa,trei,три,golbma,tri,tri,tre,tri,три,tilu,tre,tatu,மூன்று,สาม,üç,три,ba,三,三
4,vier,anan,አራት,أربعة,dörd,чатыры,четири,četiri,quatre,𑄌𑄳𑄆𑄬𑄢𑄴,ꮕꭹ,čtyři,pedwar,fire,vier,vier,ene,τέσσερα,four,kvar,cuatro,neli,چهار,nawi,neljä,ápat,fýre,quatre,quatre,quatre,a ceathair,ארבע,चार,četiri,négy,չորս,empat,fjögur,quattro,四,ოთხი,төрт,sisamat,បួន,사,төрт,véier,ສີ່,چار,keturi,četri,четири,empat,erbgħa,လေး,चार,vier,fire,fire,cztery,quatro,tawa,patru,четыре,njeallje,štyri,štiri,katër,četiri,четири,opat,fyra,nne,நான்கு,สี่,dört,чотири,bốn,四,四
5,vyf,anum,አምስት,خمسة,beş,пяць,пет,pet,cinc,𑄛𑄌𑄴,ꭿꮝꭹ,pět,pump,fem,fünf,fünf,atɔ̃,πέντε,five,kvin,cinco,viis,پنج,jowi,viisi,limá,fimm,cinq,cinq,cinq,a cúig,חמש,पाँच,pet,öt,հինգ,lima,fimm,cinque,伍,ხუთი,бес,tallimat,ប្រាំ,오,беш,fënnef,ຫ້າ,پنج,penki,pieci,пет,lima,ħamsa,ငါး,पाँच,vijf,fem,fem,pięć,cinco,phisqa,cinci,пять,vihtta,päť,pet,pesë,pet,пет,lima,fem,tano,ஐந்து,ห้า,beş,пʼять,năm,五,五
6,ses,asia,ስድስት,ستة,altı,шэсць,шест,šest,sis,𑄍𑄧,ꮡꮣꮅ,šest,chwech,seks,sechs,sechs,ade,έξι,six,ses,seis,kuus,شش,jeegoʼo,kuusi,anim,seks,six,six,six,a sé,שש,छह,šest,hat,վեց,enam,sex,sei,六,ექვსი,алты,arfinillit,ប្រាំមួយ,육,алты,sechs,ຫົກ,شٱش,šeši,seši,шест,enam,sitta,ခြောက်,छ,zes,seks,seks,sześć,seis,suqta,şase,шесть,guhtta,šesť,šest,gjashtë,šest,шест,genep,sex,sita,ஆறு,หก,altı,шість,sáu,六,六
7,sewe,asuon,ሰባት,سبعة,yeddi,сем,седем,sedam,set,𑄥𑄖𑄴,ꭶꮅꮙꭹ,sedm,saith,syv,sieben,sieben,adre,επτά,seven,sep,siete,seitse,هفت,jeeɗiɗi,seitsemän,pitó,sjey,sept,sept,sept,a seacht,שבע,सात,sedam,hét,յոթ,tujuh,sjó,sette,七,შვიდი,жеті,arfineq-marluk,ប្រាំពីរ,칠,жети,siwen,ເຈັດ,هفت,septyni,septiņi,седум,tujuh,sebgħa,နှစ်,सात,zeven,sju,sju,siedem,sete,qanchis,şapte,семь,čieža,sedem,sedem,shtatë,sedam,седам,tujuh,sju,saba,ஏழு,เจ็ด,yedi,сім,bảy,七,七
8,agt,awɔtwe,ስምንት,ثمانية,səkkiz,восем,осем,osam,vuit,𑄃𑄖𑄳𑄠𑄴𑄧,ꮷꮑꮃ,osm,wyth,otte,acht,acht,enyi,οκτώ,eight,ok,ocho,kaheksa,هشت,jeetati,kahdeksan,waló,átta,huit,huit,huit,a hocht,שמונה,आठ,osam,nyolc,ութ,delapan,átta,otto,八,რვა,сегіз,arfineq-pingasut,ប្រាំបី,팔,сегиз,aacht,ແປດ,هشت,aštuoni,astoņi,осум,lapan,tmienja,ရှစ်,आठ,acht,åtte,åtte,osiem,oito,pusaq,opt,восемь,gávcci,osem,osem,tetë,osam,осам,dalapan,åtta,nane,எட்டு,แปด,sekiz,вісім,tám,八,八
9,nege,akron,ዘጠኝ,تسعة,doqquz,дзевяць,девет,devet,nou,𑄚𑄧,ꮠꮑꮃ,devět,naw,ni,neun,neun,asieke,εννέα,nine,naŭ,nueve,üheksa,نه,jeenawi,yhdeksän,siyám,níggju,neuf,neuf,neuf,a naoi,תשע,नौ,devet,kilenc,ինը,sembilan,níu,nove,九,ცხრა,тоғыз,arfineq-sisamat,ប្រាំបួន,구,тогуз,néng,ເກົ້າ,نۏ,devyni,deviņi,девет,sembilan,disgħa,ကိုး,नौ,negen,ni,ni,dziewięć,nove,isqun,nouă,девять,ovcci,deväť,devet,nëntë,devet,девет,salapan,nio,tisa,ஒன்பது,เก้า,dokuz,девʼять,chín,九,九
10,tien,du,አስር,عشرة,on,дзесяць,десет,deset,deu,𑄘𑄧𑄌𑄴,ꮝꭺꭿ,deset,un deg,ti,zehn,zehn,ewo,δέκα,ten,dek,diez,kümme,ده,sappo,kymmenen,sampû,tíggju,dix,dix,dix,a deich,עשר,दस,deset,tíz,տասն,sepuluh,tíu,dieci,拾,ათი,он,qulit,ដប់,십,он,zéng,ສິບ,دٱ,dešimt,desmit,десет,sepuluh,għaxra,ဆယ်,दस,tien,ti,ti,dziesięć,dez,chunka,zece,десять,logi,desať,deset,dhjetë,deset,десет,sapuluh,tio,kumi,பத்து,สิบ,on,десять,mười,十,十
11,elf,du-biako,አስር አንድ,إحدى عشر,on bir,адзінаццаць,единайсет,jedenaest,onze,𑄆𑄉𑄢𑄧,ꮜꮪ,jedenáct,un deg un,elleve,elf,elf,wuiɖekɛ,έντεκα,eleven,dek unu,once,üksteist,یازده,sappo e goʼo,yksitoista,labíng-isá,ellivu,onze,onze,onze,a haon déag,אחת עשרה,ग्यारह,jedanaest,tizen­egy,տասն­մեկ,sebelas,ellefu,undici,十一,თერთმეტი,он бір,aqqanilit,ដប់​មួយ,십일,он бир,eelef,ສິບ​ເອັດ,یازدٱ,vienuolika,vienpadsmit,единаесет,sebelas,ħdax,ဆယ့်တစ်,एघार,elf,elleve,elleve,jedenaście,onze,chunka huk-ni-yuq,unsprezece,одиннадцать,okta­nuppe­lohkái,jedenásť,enajst,njëmbëdhjetë,jedanaest,једанаест,sabelas,elva,kumi na moja,பதினொன்று,สิบ​เอ็ด,on bir,одинадцять,mười một,十一,十一
12,twaalf,du-abien,አስር ሁለት,إثنا عشر,on iki,дванаццаць,дванайсет,dvanaest,dotze,𑄝𑄢𑄳𑄦𑄧,ꮤꮅꮪ,dvanáct,un deg dau,tolv,zwölf,zwölf,wuieve,δώδεκα,twelve,dek du,doce,kaksteist,دوازده,sappo e ɗiɗi,kaksitoista,labíng-dalawá,tólv,douze,douze,douze,a dó dhéag,שתים עשרה,बारह,dvanaest,tizen­kettő,տասն­երկու,dua belas,tólf,dodici,十二,თორმეტი,он екі,aqqaneq-marluk,ដប់​ពីរ,십이,он эки,zwielef,ສິບ​ສອງ,دۊۋازدٱ,dvylika,divpadsmit,дванаесет,dua belas,tnax,ဆယ့်နှစ်,बाह्र,twaalf,tolv,tolv,dwanaście,doze,chunka iskay-ni-yuq,doisprezece,двенадцать,guokte­nuppe­lohkái,dvanásť,dvanajst,dymbëdhjetë,dvanaest,дванаест,dua belas,tolv,kumi na mbili,பன்னிரண்டு,สิบ​สอง,on iki,дванадцять,mười hai,十二,十二
13,dertien,du-abiasa,አስር ሦስት,ثلاثة عشر,on üç,трынаццаць,тринайсет,trinaest,tretze,𑄖𑄬𑄢𑄳𑄦𑄧,ꮶꭶꮪ,třináct,un deg tri,tretten,dreizehn,dreizehn,wuietɔ̃,δεκα­τρία,thirteen,dek tri,trece,kolmteist,سیزده,sappo e tati,kolmetoista,labíng-tatló,trettan,treize,treize,treize,a trí déag,שלוש עשרה,तेरह,trinaest,tizen­három,տասն­երեք,tiga belas,þrettán,tredici,十三,ცამეტი,он үш,aqqaneq-pingasut,ដប់​បី,십삼,он үч,dräizéng,ສິບ​ສາມ,سینزٱ,trylika,trīspadsmit,тринаесет,tiga belas,tlettax,ဆယ့်သုံး,तेह्र,dertien,tretten,tretten,trzynaście,treze,chunka kinsa-yuq,treisprezece,тринадцать,golbma­nuppe­lohkái,trinásť,trinajst,trembëdhjetë,trinaest,тринаест,tilu belas,tretton,kumi na tatu,பதின்மூன்று,สิบ​สาม,on üç,тринадцять,mười ba,十三,十三
14,veertien,du-anan,አስር አራት,أربعة عشر,on dörd,чатырнаццаць,четиринайсет,četrnaest,catorze,𑄌𑄮𑄖𑄴𑄙𑄮,ꮒꭶꮪ,čtrnáct,un deg pedwar,fjorten,vierzehn,vierzehn,wuiene,δεκα­τέσσερα,fourteen,dek kvar,catorce,neliteist,چهارده,sappo e nawi,neljätoista,labíng-ápat,fjúrtan,quatorze,quatorze,quatorze,a ceathair déag,ארבע עשרה,चौदह,četrnaest,tizen­négy,տասն­չորս,empat belas,fjórtán,quattordici,十四,თოთხმეტი,он төрт,aqqaneq-sisamat,ដប់​បួន,십사,он төрт,véierzéng,ສິບ​ສີ່,چاردٱ,keturiolika,četrpadsmit,четиринаесет,empat belas,erbatax,ဆယ့်လေး,चौध,veertien,fjorten,fjorten,czternaście,catorze,chunka tawa-yuq,patrusprezece,четырнадцать,njeallje­nuppe­lohkái,štrnásť,štrinajst,katërmbëdhjetë,četrnaest,четрнаест,opat belas,fjorton,kumi na nne,பதினான்கு,สิบ​สี่,on dört,чотирнадцять,mười bốn,十四,十四
15,vyftien,du-anum,አስር አምስት,خمسة عشر,on beş,пятнаццаць,петнайсет,petnaest,quinze,𑄛𑄧𑄚𑄴𑄘𑄳𑄢𑄧,ꭿꮝꭶꮪ,patnáct,un deg pump,femten,fünfzehn,fünfzehn,wuiatɔ̃,δεκα­πέντε,fifteen,dek kvin,quince,viisteist,پانزده,sappo e jowi,viisitoista,labíng-limá,fímtan,quinze,quinze,quinze,a cúig déag,חמש עשרה,पन्द्रह,petnaest,tizen­öt,տասն­հինգ,lima belas,fimmtán,quindici,十五,თხუთმეტი,он бес,aqqaneq-tallimat,ដប់​ប្រាំ,십오,он беш,fofzéng,ສິບ​ຫ້າ,پۊمزٱ,penkiolika,piecpadsmit,петнаесет,lima belas,ħmistax,ဆယ့်ငါး,पन्ध्र,vijftien,femten,femten,piętnaście,quinze,chunka phisqa-yuq,cincisprezece,пятнадцать,vihtta­nuppe­lohkái,pätnásť,petnajst,pesëmbëdhjetë,petnaest,петнаест,lima belas,femton,kumi na tano,பதினைந்து,สิบ​ห้า,on beş,пʼятнадцять,mười lăm,十五,十五
16,sestien,du-asia,አስር ስድስት,ستة عشر,on altı,шаснаццаць,шестнайсет,šestnaest,setze,𑄥𑄪𑄣𑄮,ꮣꮃꮪ,šestnáct,un deg chwech,seksten,sechzehn,sechzehn,wuiade,δεκα­έξι,sixteen,dek ses,dieciséis,kuusteist,شانزده,sappo e jeegoʼo,kuusitoista,labíng-anim,sekstan,seize,seize,seize,a sé déag,שש עשרה,सोलह,šesnaest,tizen­hat,տասն­վեց,enam belas,sextán,sedici,十六,თექვსმეტი,он алты,arfersanillit,ដប់​ប្រាំមួយ,십육,он алты,siechzéng,ສິບ​ຫົກ,شۊمزٱ,šešiolika,sešpadsmit,шеснаесет,enam belas,sittax,ဆယ့်ခြောက်,सोह्र,zestien,seksten,seksten,szesnaście,dezesseis,chunka suqta-yuq,şasesprezece,шестнадцать,guhtta­nuppe­lohkái,šestnásť,šestnajst,gjashtëmbëdhjetë,šesnaest,шеснаест,genep belas,sexton,kumi na sita,பதினாறு,สิบ​หก,on altı,шістнадцять,mười sáu,十六,十六
17,sewentien,du-asuon,አስር ሰባት,سبعة عشر,on yeddi,сямнаццаць,седемнайсет,sedamnaest,disset,𑄥𑄧𑄖𑄴𑄧𑄢𑄧,ꭶꮅꮖꮪ,sedmnáct,un deg saith,sytten,siebzehn,siebzehn,wuiadre,δεκα­επτά,seventeen,dek sep,diecisiete,seitseteist,هفده,sappo e jeeɗiɗi,seitsemäntoista,labíng-pitó,seytan,dix-sept,dix-sept,dix-sept,a seacht déag,שבע עשרה,सत्रह,sedamnaest,tizen­hét,տասն­յոթ,tujuh belas,sautján,diciassette,十七,ჩვიდმეტი,он жеті,arfersaneq-marluk,ដប់​ប្រាំពីរ,십칠,он жети,siwwenzéng,ສິບ​ເຈັດ,هاٛبدٱ,septyniolika,septiņpadsmit,седумнаесет,tujuh belas,sbatax,ဆယ့်ခုနှစ်,सत्र,zeventien,sytten,sytten,siedemnaście,dezessete,chunka qanchis-ni-yuq,şaptesprezece,семнадцать,čieža­nuppe­lohkái,sedemnásť,sedemnajst,shtatëmbëdhjetë,sedamnaest,седамнаест,tujuh belas,sjutton,kumi na saba,பதினேழு,สิบ​เจ็ด,on yedi,сімнадцять,mười bảy,十七,十七
18,agttien,du-awɔtwe,አስር ስምንት,ثمانية عشر,on səkkiz,васямнаццаць,осемнайсет,osamnaest,divuit,𑄃𑄘𑄧𑄢𑄳𑄦𑄧,ꮑꮃꮪ,osmnáct,un deg wyth,atten,achtzehn,achtzehn,wuienyi,δεκα­οκτώ,eighteen,dek ok,dieciocho,kaheksateist,هجده,sappo e jeetati,kahdeksantoista,labíng-waló,átjan,dix-huit,dix-huit,dix-huit,a hocht déag,שמונה עשרה,अठारह,osamnaest,tizen­nyolc,տասն­ութ,delapan belas,átján,diciotto,十八,თრვამეტი,он сегіз,arfersaneq-pingasut,ដប់​ប្រាំបី,십팔,он сегиз,uechtzéng,ສິບ​ແປດ,هیژدٱ,aštuoniolika,astoņpadsmit,осумнаесет,lapan belas,tmintax,ဆယ့်ရှစ်,अठार,achttien,atten,atten,osiemnaście,dezoito,chunka pusaq-ni-yuq,optsprezece,восемнадцать,gávcci­nuppe­lohkái,osemnásť,asemnajst,tetëmbëdhjetë,osamnaest,осамнаест,dalapan belas,arton,kumi na nane,பதினெட்டு,สิบ​แปด,on sekiz,вісімнадцять,mười tám,十八,十八
19,negentien,du-akron,አስር ዘጠኝ,تسعة عشر,on doqquz,дзевятнаццаць,деветнайсет,devetnaest,dinou,𑄃𑄪𑄚𑄴𑄮𑄌𑄴,ꮠꮑꮃꮪ,devatenáct,un deg naw,nitten,neunzehn,neunzehn,wuiasieke,δεκα­εννέα,nineteen,dek naŭ,diecinueve,üheksateist,نوزده,sappo e jeenawi,yhdeksäntoista,labíng-siyám,nítjan,dix-neuf,dix-neuf,dix-neuf,a naoi déag,תשע עשרה,उन्नीस,devetnaest,tizen­kilenc,տասն­ինը,sembilan belas,nítján,diciannove,十九,ცხრამეტი,он тоғыз,arfersaneq-sisamat,ដប់​ប្រាំបួន,십구,он тогуз,nonzéng,ສິບ​ເກົ້າ,نۊزدٱ,devyniolika,deviņpadsmit,деветнаесет,sembilan belas,dsatax,ဆယ့်ကိုး,उन्नाइस,negentien,nitten,nitten,dziewiętnaście,dezenove,chunka isqun-ni-yuq,nouăsprezece,девятнадцать,ovcci­nuppe­lohkái,devätnásť,devetnajst,nëntëmbëdhjetë,devetnaest,деветнаест,salapan belas,nitton,kumi na tisa,பத்தொன்பது,สิบ​เก้า,on dokuz,девʼятнадцять,mười chín,十九,十九
20,twintig,aduonu,ሁለት አስር,عشرون,iyirmi,дваццаць,двайсет,dvadeset,vint,𑄇𑄪𑄢𑄨,ꮤꮅꮝꭺꭿ,dvacet,dau ddeg,tyve,zwanzig,zwanzig,blaeve,είκοσι,twenty,dudek,veinte,kakskümmend,بیست,noogas,kaksi­kymmentä,dalawáng pû,tjúgo,vingt,vingt,vingt,fiche,עשרים,बीस,dvadeset,húsz,քսան,dua puluh,tuttugu,venti,二十,ოცი,жиырма,marlunnik qulillit,ម្ភៃ,이십,жыйырма,zwanzeg,ຊາວ,بیست,dvidešimt,divdesmit,дваесет,dua puluh,għoxrin,နှစ်ဆယ်,बिस,twintig,tjue,tjue,dwadzieścia,vinte,iskay chunka,douăzeci,двадцать,guokte­logi,dvadsať,dvaset,njëzet,dvadeset,двадесет,dua puluh,tjugo,ishirini,இருபது,สิบ,yirmi,двадцять,hai mươi,二十,二十
21,een-en-twintig,aduonu-biako,ሁለት አስር አንድ,واحد وعشرون,iyirmi bir,дваццаць адзiн,двайсет и едно,dvadeset jedan,vint-i-u,𑄇𑄪𑄢𑄨 𑄆𑄇𑄴,ꮤꮅꮝꭺ ꮠꮼ,dvacet jeden,dau deg un,en­og­tyve,ein­und­zwanzig,ein­und­zwanzig,blaeve vɔ ɖekɛ,είκοσι ένα,twenty-one,dudek unu,veintiuno,kakskümmend üks,بیست و یک,noogas e goʼo,kaksi­kymmentä­yksi,dalawáng pû’t isá,tjúgo­ein,vingt-et-un,vingt-et-un,vingt-et-un,fiche a haon,עשרים ואחת,इक्कीस,dvadeset i jedan,huszon­egy,քսան­մեկ,dua puluh satu,tuttugu og einn,vent­uno,二十一,ოცდა­ერთი,жиырма бір,marlunnik qulillit ataaseq,ម្ភៃ​មួយ,이십일,жыйырма бир,eenanzwanzeg,ຊາວ​ເອັດ,بیست و یٱک,dvidešimt vienas,divdesmit viens,дваесет и еден,dua puluh satu,wieħed u għoxrin,နှစ်ဆယ်တစ်,एक्काइस,een­en­twintig,tjue­éin,tjue­én,dwadzieścia jeden,vinte e um,iskay chunka huk-ni-yuq,douăzeci şi unu,двадцать один,guokte­logi­okta,dvadsať­jeden,dvaset ena,njëzet e një,dvadeset i jedan,двадесет и један,dua puluh hiji,tjugo­ett,ishirini na moja,இருபது ஒன்று,ยี่​สิบ​เอ็ด,yirmi bir,двадцять один,hai mươi mốt,二十一,二十一
22,twee-en-twintig,aduonu-abien,ሁለት አስር ሁለት,إثنان وعشرون,iyirmi iki,дваццаць два,двайсет и две,dvadeset dva,vint-i-dos,𑄇𑄪𑄢𑄨 𑄘𑄨,ꮤꮅꮝꭺ ꮤꮅ,dvacet dva,dau deg dau,to­og­tyve,zwei­und­zwanzig,zwei­und­zwanzig,blaeve vɔ eve,είκοσι δύο,twenty-two,dudek du,veintidós,kakskümmend kaks,بیست و دو,noogas e ɗiɗi,kaksi­kymmentä­kaksi,dalawáng pû’t dalawá,tjúgo­tveir,vingt-deux,vingt-deux,vingt-deux,fiche a dó,עשרים ושתיים,बाईस,dvadeset i dva,huszon­kettő,քսան­երկու,dua puluh dua,tuttugu og tveir,venti­due,二十二,ოცდა­ორი,жиырма екі,marlunnik qulillit marluk,ម្ភៃ​ពីរ,이십이,жыйырма эки,zweeanzwanzeg,ຊາວ​ສອງ,بیست و دۏ,dvidešimt du,divdesmit divi,дваесет и два,dua puluh dua,tnejn u għoxrin,နှစ်ဆယ်နှစ်,बाइस,twee­ën­twintig,tjue­to,tjue­to,dwadzieścia dwa,vinte e dois,iskay chunka iskay-ni-yuq,douăzeci şi doi,двадцать два,guokte­logi­guokte,dvadsať­dva,dvaset dva,njëzet e dy,dvadeset i dva,двадесет и два,dua puluh dua,tjugo­två,ishirini na mbili,இருபது இரண்டு,ยี่​สิบ​สอง,yirmi iki,двадцять два,hai mươi hai,二十二,二十二
23,drie-en-twintig,aduonu-abiasa,ሁለት አስር ሦስት,ثلاثة وعشرون,iyirmi üç,дваццаць тры,двайсет и три,dvadeset tri,vint-i-tres,𑄇𑄪𑄢𑄨 𑄖𑄨𑄚𑄴,ꮤꮅꮝꭺ ꮶꭲ,dvacet tři,dau deg tri,tre­og­tyve,drei­und­zwanzig,drei­und­zwanzig,blaeve vɔ etɔ̃,είκοσι τρία,twenty-three,dudek tri,veintitrés,kakskümmend kolm,بیست و سه,noogas e tati,kaksi­kymmentä­kolme,dalawáng pû’t tatló,tjúgo­tríggir,vingt-trois,vingt-trois,vingt-trois,fiche a trí,עשרים ושלוש,तेईस,dvadeset i tri,huszon­három,քսան­երեք,dua puluh tiga,tuttugu og þrír,venti­tré,二十三,ოცდა­სამი,жиырма үш,marlunnik qulillit pingasut,ម្ភៃ​បី,이십삼,жыйырма үч,dräianzwanzeg,ຊາວ​ສາມ,بیست و ساٛ,dvidešimt trys,divdesmit trīs,дваесет и три,dua puluh tiga,tlieta u għoxrin,နှစ်ဆယ်သုံး,तेइस,drie­ën­twintig,tjue­tre,tjue­tre,dwadzieścia trzy,vinte e três,iskay chunka kinsa-yuq,douăzeci şi trei,двадцать три,guokte­logi­golbma,dvadsať­tri,dvaset tri,njëzet e tre,dvadeset i tri,двадесет и три,dua puluh tilu,tjugo­tre,ishirini na tatu,இருபது மூன்று,ยี่​สิบ​สาม,yirmi üç,двадцять три,hai mươi ba,二十三,二十三
24,vier-en-twintig,aduonu-anan,ሁለት አስር አራት,أربعة وعشرون,iyirmi dörd,дваццаць чатыры,двайсет и четири,dvadeset četiri,vint-i-quatre,𑄇𑄪𑄢𑄨 𑄌𑄳𑄆𑄬𑄢𑄴,ꮤꮅꮝꭺ ꮕꭹ,dvacet čtyři,dau deg pedwar,fire­og­tyve,vierund­zwanzig,vierund­zwanzig,blaeve vɔ ene,είκοσι τέσσερα,twenty-four,dudek kvar,veinticuatro,kakskümmend neli,بیست و چهار,noogas e nawi,kaksi­kymmentä­neljä,dalawáng pû’t ápat,tjúgo­fýre,vingt-quatre,vingt-quatre,vingt-quatre,fiche a ceathair,עשרים וארבע,चौबीस,dvadeset i četiri,huszon­négy,քսան­չորս,dua puluh empat,tuttugu og fjórir,venti­quattro,二十四,ოცდა­ოთხი,жиырма төрт,marlunnik qulillit sisamat,ម្ភៃ​បួន,이십사,жыйырма төрт,véieranzwanzeg,ຊາວ​ສີ່,بیست و چار,dvidešimt keturi,divdesmit četri,дваесет и четири,dua puluh empat,erbgħa u għoxrin,နှစ်ဆယ်လေး,चौबिस,vier­en­twintig,tjue­fire,tjue­fire,dwadzieścia cztery,vinte e quatro,iskay chunka tawa-yuq,douăzeci şi patru,двадцать четыре,guokte­logi­njeallje,dvadsať­štyri,dvaset štiri,njëzet e katër,dvadeset i četiri,двадесет и четири,dua puluh opat,tjugo­fyra,ishirini na nne,இருபது நான்கு,ยี่​สิบ​สี่,yirmi dört,двадцять чотири,hai mươi tư,二十四,二十四
25,vyf-en-twintig,aduonu-anum,ሁለት አስር አምስት,خمسة وعشرون,iyirmi beş,дваццаць пяць,двайсет и пет,dvadeset pet,vint-i-cinc,𑄇𑄪𑄢𑄨 𑄛𑄌𑄴,ꮤꮅꮝꭺ ꭿꮝꭹ,dvacet pět,dau deg pump,fem­og­tyve,fünfund­zwanzig,fünfund­zwanzig,blaeve vɔ atɔ̃,είκοσι πέντε,twenty-five,dudek kvin,veinticinco,kakskümmend viis,بیست و پنج,noogas e jowi,kaksi­kymmentä­viisi,dalawáng pû’t limá,tjúgo­fimm,vingt-cinq,vingt-cinq,vingt-cinq,fiche a cúig,עשרים וחמש,पच्चीस,dvadeset i pet,huszon­öt,քսան­հինգ,dua puluh lima,tuttugu og fimm,venti­cinque,二十五,ოცდა­ხუთი,жиырма бес,marlunnik qulillit tallimat,ម្ភៃ​ប្រាំ,이십오,жыйырма беш,fënnefanzwanzeg,ຊາວ​ຫ້າ,بیست و پنج,dvidešimt penki,divdesmit pieci,дваесет и пет,dua puluh lima,ħamsa u għoxrin,နှစ်ဆယ်ငါး,पच्चिस,vijf­en­twintig,tjue­fem,tjue­fem,dwadzieścia pięć,vinte e cinco,iskay chunka phisqa-yuq,douăzeci şi cinci,двадцать пять,guokte­logi­vihtta,dvadsať­päť,dvaset pet,njëzet e pesë,dvadeset i pet,двадесет и пет,dua puluh lima,tjugo­fem,ishirini na tano,இருபது ஐந்து,ยี่​สิบ​ห้า,yirmi beş,двадцять пʼять,hai mươi lăm,二十五,二十五
26,ses-en-twintig,aduonu-asia,ሁለት አስር ስድስት,ستة وعشرون,iyirmi altı,дваццаць шэсць,двайсет и шест,dvadeset šest,vint-i-sis,𑄇𑄪𑄢𑄨 𑄍𑄧,ꮤꮅꮝꭺ ꮡꮣꮅ,dvacet šest,dau deg chwech,seks­og­tyve,sechs­und­zwanzig,sechs­und­zwanzig,blaeve vɔ ade,είκοσι έξι,twenty-six,dudek ses,veintiséis,kakskümmend kuus,بیست و شش,noogas e jeegoʼo,kaksi­kymmentä­kuusi,dalawáng pû’t anim,tjúgo­seks,vingt-six,vingt-six,vingt-six,fiche a sé,עשרים ושש,छब्बीस,dvadeset i šest,huszon­hat,քսան­վեց,dua puluh enam,tuttugu og sex,venti­sei,二十六,ოცდა­ექვსი,жиырма алты,marlunnik qulillit arfinillit,ម្ភៃ​ប្រាំមួយ,이십육,жыйырма алты,sechsanzwanzeg,ຊາວ​ຫົກ,بیست و شٱش,dvidešimt šeši,divdesmit seši,дваесет и шест,dua puluh enam,sitta u għoxrin,နှစ်ဆယ်ခြောက်,छब्बिस,zes­en­twintig,tjue­seks,tjue­seks,dwadzieścia sześć,vinte e seis,iskay chunka suqta-yuq,douăzeci şi şase,двадцать шесть,guokte­logi­guhtta,dvadsať­šesť,dvaset šest,njëzet e gjashtë,dvadeset i šest,двадесет и шест,dua puluh genep,tjugo­sex,ishirini na sita,இருபது ஆறு,ยี่​สิบ​หก,yirmi altı,двадцять шість,hai mươi sáu,二十六,二十六
