year,title,original_title,director,languages,countries_of_origin,run_time,imdb_url
1952,Man in the Storm,Arashi no naka no hara,Kôzô Saeki,ja,JP,1h 26m,https://www.imdb.com/title/tt0243120/
1952,"Cry, the Beloved Country",,Zoltan Korda,en,GB,1h 36m,https://www.imdb.com/title/tt0043436/
1952,Desires,Das letzte Rezept,Rolf Hansen,de,DE,1h 37m,https://www.imdb.com/title/tt0043737/
1952,Der Weibsteufel,,Wolfgang Liebeneiner,de,AT,1h 39m,https://www.imdb.com/title/tt0236861/
1952,Detective Story,,William Wyler,en,US,1h 43m,https://www.imdb.com/title/tt0043465/
1952,Two Cents Worth of Hope,Due soldi di speranza,Renato Castellani,it,IT,1h 50m,https://www.imdb.com/title/tt0044572/
1952,Encore,,"Harold French, Pat Jackson, Anthony Pelissier","en,fr",GB,1h 25m,https://www.imdb.com/title/tt0044586/
1952,Fanfan la Tulipe,Fanfan la tulipe,Christian-Jaque,fr,"FR,IT",1h 42m,https://www.imdb.com/title/tt0044602/
1952,The Tale of Genji,Genji monogatari,Kôzaburô Yoshimura,ja,JP,2h 1m,https://www.imdb.com/title/tt0043580/
1952,Cops and Robbers,Guardie e ladri,"Mario Monicelli, Steno","it,en,fr",IT,1h 45m,https://www.imdb.com/title/tt0043606/
1952,No Greater Love,Herz der Welt,Harald Braun,de,DE,1h 53m,https://www.imdb.com/title/tt0043635/
1952,One Summer of Happiness,Hon dansade en sommar,Arne Mattsson,sv,SE,1h 43m,https://www.imdb.com/title/tt0043652/
1952,Son of the Nile,Ibn el Nil,Youssef Chahine,ar,EG,2h 5m,https://www.imdb.com/title/tt0043670/
1952,The Overcoat,Il cappotto,Alberto Lattuada,it,IT,1h 42m,https://www.imdb.com/title/tt0044474/
1952,The Absentee,La ausente,Julio Bracho,es,MX,1h 52m,https://www.imdb.com/title/tt0044384/
1952,A Night of Love,Lailat gharam,Ahmed Badrakhan,ar,EG,2h,https://www.imdb.com/title/tt0311416/
1952,The Smugglers' Banquet,Le banquet des fraudeurs,Henri Storck,"fr,nl","BE,DE",1h 30m,https://www.imdb.com/title/tt0160028/
1952,María Morena,,"José María Forqué, Pedro Lazaga",es,ES,1h 15m,https://www.imdb.com/title/tt0043789/
1952,Nami,,Noboru Nakamura,ja,JP,1h 51m,https://www.imdb.com/title/tt0243440/
1952,Dead City,Nekri politeia,Frixos Iliadis,el,GR,1h 16m,https://www.imdb.com/title/tt0137126/
1952,We Are All Murderers,Nous sommes tous des assassins,André Cayatte,fr,"FR,IT",1h 55m,https://www.imdb.com/title/tt0044977/
1952,Emergency Landing,Nødlanding,Arne Skouen,"en,no",NO,1h 40m,https://www.imdb.com/title/tt0044980/
1952,The Evil Forest,Parsifal,"Daniel Mangrané, Carlos Serrano de Osma",es,ES,1h 35m,https://www.imdb.com/title/tt0043903/
1952,Pasó en mi barrio,,Mario Soffici,es,AR,1h 18m,https://www.imdb.com/title/tt0200948/
